id,time,latitude,longitude,depth,mag,spatial_cluster
ak000126digo,23-01-2000 08:42,57.5699,-149.0911,27.79999924,5.5,0
ak0001kedehd,03-02-2000 10:24,65.0087,-154.239,10,5.599999905,0
ak0002nyhqq3,27-02-2000 02:22,60.2025,-145.9216,18.10000038,5,0
ak0002nyhqq4,27-02-2000 02:22,-3.764475,27.723041,52.12335968,5.302078247,1
ak0002nyhqq5,27-02-2000 02:22,-10.878709,1.795687,41.36554718,5.170291424,1
ak0002t9i8pq,01-03-2000 23:05,60.1896,-145.9005,10,5.400000095,0
ak00034p02su,08-03-2000 14:20,57.341,-154.2517,39.5,5.400000095,2
ak00034ua3il,08-03-2000 23:07,62.2928,-151.3767,97.90000153,5.400000095,0
ak0003htw989,16-03-2000 08:48,61.3927,-149.8951,39,5,0
ak0003htw990,16-03-2000 08:48,-3.816667,27.532828,52.04443741,5.301111221,1
ak0003htw991,16-03-2000 08:48,-10.930901,1.605474,41.28662491,5.169324398,1
ak0005nt5cm4,02-05-2000 23:59,59.5979,-139.7231,16.20000076,5.300000191,0
ak0005nt5cm5,02-05-2000 23:59,-3.902559,27.219801,51.9145546,5.299520016,1
ak0005nt5cm6,02-05-2000 23:59,-11.016793,1.292447,41.1567421,5.167733192,1
ak0005xohb9f,08-05-2000 20:41,57.3157,-154.2887,35.59999847,5,2
ak0006fvclqz,19-05-2000 20:34,59.0742,-152.8895,75.09999847,5.800000191,0
ak0008a0cj9j,28-06-2000 19:50,58.6752,-149.7843,10,5.199999809,0
ak0008v7ic1n,11-07-2000 01:32,57.3546,-154.198,42.90000153,6.5,2
ak0008v7jnot,11-07-2000 01:38,57.3802,-154.2712,37.79999924,5.5,2
ak000b99o50e,01-09-2000 05:04,63.1901,-150.5321,136.6000061,5.300000191,0
ak000c3ad52s,19-09-2000 20:19,57.1897,-154.2774,25.29999924,5,2
ak000cd2fxbs,25-09-2000 11:55,57.8127,-153.7939,45.70000076,5.099999905,0
ak000e7bh66s,04-11-2000 17:49,58.6499,-139.1296,26.70000076,5.199999809,0
ak000eaixc1d,06-11-2000 11:40,56.0709,-153.2164,20.79999924,5.800000191,3
ak000fcjnuse,29-11-2000 10:35,63.8417,-150.1026,16.20000076,5.800000191,0
ak000fo97rxo,06-12-2000 18:40,63.8905,-150.3066,11.69999981,5,0
ak000gef3jyo,22-12-2000 00:40,56.5401,-158.0955,91.5,5.5,0
ak000qp1inz,16-01-2000 14:18,57.3703,-154.2451,41.59999847,5.199999809,2
ak00113zatg4,24-01-2001 17:47,55.448,-156.4149,22.20000076,5,0
ak00113zatg5,24-01-2001 17:47,-4.324621,25.681623,51.27633286,5.291701794,1
ak00113zatg6,24-01-2001 17:47,-11.438855,-0.245731,40.51852036,5.15991497,1
ak00115fl54p,25-01-2001 05:29,60.1364,-152.3581,83,5.5,0
ak0011xtdgrm,11-02-2001 21:50,56.9267,-153.3644,38,5.199999809,3
ak0015qtfxx6,05-05-2001 05:48,56.2391,-156.3508,43.90000153,5.099999905,0
ak0015qtfxx7,05-05-2001 05:48,-4.527228,24.943238,50.96995926,5.287948608,1
ak0015qtfxx8,05-05-2001 05:48,-11.641462,-0.984116,40.21214676,5.156161785,1
ak00174n9oac,04-06-2001 18:42,64.6986,-152.4037,22.89999962,5.099999905,0
ak0019727ar1,19-07-2001 18:00,57.0277,-150.8557,36,5.900000095,0
ak0019727ar2,19-07-2001 18:00,-4.610243,24.640695,50.84442902,5.286410809,1
ak0019727ar3,19-07-2001 18:00,-11.724477,-1.286659,40.08661652,5.154623985,1
ak0019lroivn,28-07-2001 07:32,58.775,-154.7006,131.8000031,6.599999905,0
